video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Pzre-EptsU4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@abc10news,ABC 10 News,Local vets will be human shields at standing rock,5.7K,9 years,"Say they're going to protect the protesters ◂ San Diego's News Source - 10News, KGTV, delivers the latest breaking news, ...",2026-01-20 16:29:56.499009
/watch?v=JbJOownDnMs&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@PBSNewsHour,PBS NewsHour,"Despite impending deadline, Standing Rock protesters vow to stay",7.4K,9 years,"As temperatures in North Dakota plunge into the single digits, the standoff over an oil pipeline near a Native American reservation ...",2026-01-20 16:29:56.500275
/watch?v=KskC6Qd1DOk&list=RDKskC6Qd1DOk&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/@MrCatfysh,Ben Byrdic,Trevor Hall - Standing Rock,276K,9 years,A video and picture compilation set to Trevor Hall's song Standing Rock. #NODAPL.,2026-01-20 16:29:56.502053
/watch?v=upHOL5dkfLM&list=RDupHOL5dkfLM&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAdIHCQlPCgGHKiGM7w%3D%3D,/channel/UCwPs1fqZj6ezgLmoVORhRIQ,Marty Siltanen,Marty Siltanen - Standing On The Rock (cover),791,5 years,"Another song on the porch... cover of the fun campfire song, “Standing On The Rock”, Ozark Mountain Daredevils.",2026-01-20 16:29:56.503522
/watch?v=wjrfoOFL9Vs&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Standing Rock Sioux Chair Hails Army Corps of Engineers Decision to Reroute Dakota Access Pipeline,13K,9 years,"http://democracynow.org - In an historic win for the Standing Rock Sioux Tribe in North Dakota and the environment, the U.S. Army ...",2026-01-20 16:29:56.505515
/watch?v=pTKpnuLr5lw&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Standing Rock Sioux Tribe Chair: Obama's Legacy Rests on Whether He Stops Dakota Access Pipeline,10K,9 years,http://democracynow.org - A federal appeals court recently rejected a bid by the Standing Rock Sioux Tribe to permanently halt ...,2026-01-20 16:29:56.507502
/watch?v=H-khEt3WK-M&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCTheNational,CBC News: The National,Standing Rock,3.3K,8 years,Demonstrators remain to protest Donald Trump's approval of the Dakota Access pipeline. But Standing Rock Sioux Tribe leaders ...,2026-01-20 16:29:56.508845
/watch?v=Th69Q4Be_Rk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@telesurenglish,TeleSUR English,Maya Solidarity Against DAPL at Standing Rock,31K,9 years,"Maya Ancestral Authorities, representing a mandate of their people, traveled to Standing Rock because they know the struggle.",2026-01-20 16:29:56.510102
/watch?v=srrnS33wfpg&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBSNews,CBS News,Standing Rock protesters leave camp,877,8 years,"Authorities arrested at least 10 who defied Wednesday's leaving orders. Subscribe to the ""CBSN"" Channel HERE: ...",2026-01-20 16:29:56.511457
/watch?v=gW8qYSVECNc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Cornel West: I Am Heading to Standing Rock to Show Solidarity With Historic Indigenous Uprising,23K,9 years,http://democracynow.org - Amnesty International is calling on the U.S. Justice Department to investigate the violent police ...,2026-01-20 16:29:56.512777
/shorts/r_qxX14-ByY,/@LauraFlandersAndFriends,Laura Flanders & Friends,🌍 After Standing Rock: A Glimpse into Our Future #activism #newstoday #shorts,685,2 years,Standing Rock wasn't just a protest; it was a glimpse into the future of activism and resistance. Join us in this eye-opening ...,2026-01-20 16:29:56.514092
